X (m),Y (m),Z (m),Temperature (K)
-6.78125,-0.9375,0,274.0070035
-6.765625,-0.9375,0,274.0070035
-6.75,-0.9375,0,274.0001358
-6.734375,-0.9375,0,273.9999516
-6.71875,-0.9375,0,273.9906875
-6.703125,-0.9375,0,273.9906875
-6.6875,-0.9375,0,273.9862412
-6.671875,-0.9375,0,273.981282
-6.65625,-0.9375,0,273.9759145
-6.640625,-0.9375,0,273.9759145
-6.625,-0.9375,0,273.9663038
-6.609375,-0.9375,0,273.9663038
-6.59375,-0.9375,0,273.9602144
-6.578125,-0.9375,0,273.9602144
-6.5625,-0.9375,0,273.9492766
-6.546875,-0.9375,0,273.9492766
-6.53125,-0.9375,0,273.9446505
-6.515625,-0.9375,0,273.9418552
-6.5,-0.9375,0,273.9358522
-6.828125,-0.921875,0,274.0221885
-6.8125,-0.921875,0,274.017882
-6.796875,-0.921875,0,274.0181665
-6.78125,-0.921875,0,274.0121653
-6.765625,-0.921875,0,274.0121653
-6.75,-0.921875,0,274.0075466
-6.734375,-0.921875,0,274.0075466
-6.71875,-0.921875,0,273.9981323
-6.703125,-0.921875,0,273.9981323
-6.6875,-0.921875,0,273.9883088
-6.671875,-0.921875,0,273.9883088
-6.65625,-0.921875,0,273.9826114
-6.640625,-0.921875,0,273.9775132
-6.625,-0.921875,0,273.9714547
-6.609375,-0.921875,0,273.9714547
-6.59375,-0.921875,0,273.9611957
-6.578125,-0.921875,0,273.9611957
-6.5625,-0.921875,0,273.9545558
-6.546875,-0.921875,0,273.9545558
-6.53125,-0.921875,0,273.9488811
-6.515625,-0.921875,0,273.9437716
-6.5,-0.921875,0,273.9437716
-6.796875,-0.90625,0,274.0238203
-6.78125,-0.90625,0,274.0181665
-6.765625,-0.90625,0,274.0126303
-6.75,-0.90625,0,274.0075466
-6.734375,-0.90625,0,274.0085707
-6.71875,-0.90625,0,274.0037339
-6.703125,-0.90625,0,273.9981323
-6.6875,-0.90625,0,273.9934625
-6.671875,-0.90625,0,273.9934625
-6.65625,-0.90625,0,273.9839762
-6.640625,-0.90625,0,273.9839762
-6.625,-0.90625,0,273.9776559
